game_num,score,record,mean_score
1,0,0,0.000
2,1,1,0.500
3,0,1,0.333
4,0,1,0.250
5,0,1,0.200
6,0,1,0.167
7,0,1,0.143
8,0,1,0.125
9,0,1,0.111
10,0,1,0.100
11,0,1,0.091
12,0,1,0.083
13,1,1,0.154
14,1,1,0.214
15,0,1,0.200
16,1,1,0.250
17,0,1,0.235
18,0,1,0.222
19,0,1,0.211
20,0,1,0.200
21,0,1,0.190
22,0,1,0.182
23,0,1,0.174
24,1,1,0.208
25,0,1,0.200
26,0,1,0.192
27,0,1,0.185
28,1,1,0.214
29,1,1,0.241
30,0,1,0.233
31,0,1,0.226
32,1,1,0.250
33,0,1,0.242
34,0,1,0.235
35,2,2,0.286
36,0,2,0.278
37,0,2,0.270
38,0,2,0.263
39,1,2,0.282
40,0,2,0.275
41,0,2,0.268
42,1,2,0.286
43,0,2,0.279
44,0,2,0.273
45,1,2,0.289
46,1,2,0.304
47,1,2,0.319
48,0,2,0.312
49,2,2,0.347
50,1,2,0.360
51,0,2,0.353
52,1,2,0.365
53,4,4,0.434
54,0,4,0.426
55,1,4,0.436
56,1,4,0.446
57,1,4,0.456
58,2,4,0.483
59,2,4,0.508
60,1,4,0.517
61,3,4,0.557
62,1,4,0.565
63,1,4,0.571
64,6,6,0.656
65,1,6,0.662
66,2,6,0.682
67,0,6,0.672
68,3,6,0.706
69,1,6,0.710
70,8,8,0.814
71,4,8,0.859
72,12,12,1.014
73,1,12,1.014
74,3,12,1.041
75,2,12,1.053
76,1,12,1.053
77,2,12,1.065
78,6,12,1.128
79,0,12,1.114
80,0,12,1.100
81,30,30,1.457
82,22,30,1.707
83,0,30,1.687
84,3,30,1.702
85,22,30,1.941
86,0,30,1.919
87,20,30,2.126
88,0,30,2.102
89,31,31,2.427
90,62,62,3.089
91,22,62,3.297
92,51,62,3.815
93,26,62,4.054
94,4,62,4.053
95,29,62,4.316
96,29,62,4.573
97,14,62,4.670
98,8,62,4.704
99,39,62,5.051
100,29,62,5.290
101,23,62,5.465
102,39,62,5.794
103,35,62,6.078
104,38,62,6.385
105,33,62,6.638
106,17,62,6.736
107,39,62,7.037
108,28,62,7.231
109,41,62,7.541
110,66,66,8.073
111,28,66,8.252
112,58,66,8.696
113,21,66,8.805
114,31,66,9.000
115,57,66,9.417
116,59,66,9.845
117,13,66,9.872
118,12,66,9.890
119,38,66,10.126
120,18,66,10.192
121,42,66,10.455
122,7,66,10.426
123,40,66,10.667
124,43,66,10.927
125,54,66,11.272
126,53,66,11.603
127,50,66,11.906
128,20,66,11.969
129,52,66,12.279
130,25,66,12.377
131,15,66,12.397
132,29,66,12.523
133,34,66,12.684
134,42,66,12.903
135,23,66,12.978
136,5,66,12.919
137,38,66,13.102
138,11,66,13.087
139,43,66,13.302
140,19,66,13.343
141,15,66,13.355
142,50,66,13.613
143,38,66,13.783
144,32,66,13.910
145,43,66,14.110
146,20,66,14.151
147,43,66,14.347
148,30,66,14.453
149,49,66,14.685
150,21,66,14.727
151,26,66,14.801
152,53,66,15.053
153,47,66,15.261
154,23,66,15.312
155,40,66,15.471
156,30,66,15.564
157,52,66,15.796
158,33,66,15.905
159,20,66,15.931
160,39,66,16.075
161,13,66,16.056
162,36,66,16.179
163,34,66,16.288
164,52,66,16.506
165,13,66,16.485
166,48,66,16.675
167,22,66,16.707
168,17,66,16.708
169,40,66,16.846
170,62,66,17.112
171,55,66,17.333
172,48,66,17.512
173,35,66,17.613
174,25,66,17.655
175,35,66,17.754
176,20,66,17.767
177,54,66,17.972
178,26,66,18.017
179,19,66,18.022
180,30,66,18.089
181,20,66,18.099
182,37,66,18.203
183,40,66,18.322
184,46,66,18.473
185,41,66,18.595
186,37,66,18.694
187,11,66,18.652
188,15,66,18.633
189,36,66,18.725
190,61,66,18.947
191,38,66,19.047
192,49,66,19.203
193,33,66,19.275
194,28,66,19.320
195,21,66,19.328
196,41,66,19.439
197,11,66,19.396
198,39,66,19.495
199,53,66,19.663
200,19,66,19.660
201,36,66,19.741
202,40,66,19.842
203,67,67,20.074
204,40,67,20.172
205,14,67,20.141
206,64,67,20.354
207,35,67,20.425
208,60,67,20.615
209,24,67,20.632
210,55,67,20.795
211,28,67,20.829
212,27,67,20.858
213,22,67,20.864
214,48,67,20.991
215,51,67,21.130
216,28,67,21.162
217,33,67,21.217
218,30,67,21.257
219,34,67,21.315
220,78,78,21.573
221,35,78,21.633
222,29,78,21.667
223,48,78,21.785
224,27,78,21.808
225,69,78,22.018
226,32,78,22.062
227,53,78,22.198
228,61,78,22.368
229,47,78,22.476
230,13,78,22.435
231,58,78,22.589
232,39,78,22.659
233,61,78,22.824
234,13,78,22.782
235,32,78,22.821
236,34,78,22.869
237,29,78,22.895
238,36,78,22.950
239,19,78,22.933
240,47,78,23.033
241,45,78,23.124
242,13,78,23.083
243,42,78,23.160
244,39,78,23.225
245,24,78,23.229
246,33,78,23.268
247,48,78,23.368
248,69,78,23.552
249,28,78,23.570
250,40,78,23.636
251,25,78,23.641
252,9,78,23.583
253,34,78,23.625
254,47,78,23.717
255,49,78,23.816
256,24,78,23.816
257,41,78,23.883
258,25,78,23.888
259,70,78,24.066
260,19,78,24.046
261,23,78,24.042
262,24,78,24.042
263,30,78,24.065
264,26,78,24.072
265,40,78,24.132
266,20,78,24.117
267,30,78,24.139
268,19,78,24.119
269,15,78,24.086
270,14,78,24.048
271,13,78,24.007
272,39,78,24.062
273,46,78,24.143
274,32,78,24.172
275,32,78,24.200
276,28,78,24.214
277,26,78,24.220
278,28,78,24.234
279,22,78,24.226
280,40,78,24.282
281,29,78,24.299
282,42,78,24.362
283,51,78,24.456
284,38,78,24.504
285,40,78,24.558
286,30,78,24.577
287,41,78,24.634
288,25,78,24.635
289,45,78,24.706
290,22,78,24.697
291,30,78,24.715
292,39,78,24.764
293,43,78,24.826
294,22,78,24.816
295,26,78,24.820
296,24,78,24.818
297,52,78,24.909
298,44,78,24.973
299,56,78,25.077
300,46,78,25.147
301,43,78,25.206
302,15,78,25.172
303,33,78,25.198
304,45,78,25.263
305,25,78,25.262
306,37,78,25.301
307,41,78,25.352
308,16,78,25.321
309,45,78,25.385
310,14,78,25.348
311,50,78,25.428
312,49,78,25.503
313,38,78,25.543
314,15,78,25.510
315,18,78,25.486
316,28,78,25.494
317,11,78,25.448
318,19,78,25.428
319,20,78,25.411
320,36,78,25.444
321,11,78,25.399
322,25,78,25.398
323,31,78,25.415
324,29,78,25.426
325,27,78,25.431
326,12,78,25.390
327,4,78,25.324
328,27,78,25.329
329,25,78,25.328
330,4,78,25.264
331,30,78,25.278
332,30,78,25.292
333,32,78,25.312
334,43,78,25.365
335,26,78,25.367
336,30,78,25.381
337,24,78,25.377
338,22,78,25.367
339,21,78,25.354
340,35,78,25.382
341,22,78,25.372
342,28,78,25.380
343,25,78,25.379
344,63,78,25.488
345,37,78,25.522
346,8,78,25.471
347,52,78,25.548
348,39,78,25.586
349,23,78,25.579
350,10,78,25.534
351,54,78,25.615
352,36,78,25.645
353,20,78,25.629
354,17,78,25.605
355,26,78,25.606
356,32,78,25.624
357,17,78,25.599
358,45,78,25.654
359,29,78,25.663
360,31,78,25.678
361,24,78,25.673
362,19,78,25.655
363,25,78,25.653
364,37,78,25.684
365,31,78,25.699
366,44,78,25.749
367,62,78,25.847
368,57,78,25.932
369,33,78,25.951
370,31,78,25.965
371,37,78,25.995
372,27,78,25.997
373,52,78,26.067
374,49,78,26.128
375,22,78,26.117
376,40,78,26.154
377,38,78,26.186
378,45,78,26.235
379,48,78,26.293
380,14,78,26.261
381,32,78,26.276
382,60,78,26.364
383,15,78,26.334
384,41,78,26.372
385,25,78,26.369
386,47,78,26.422
387,61,78,26.512
388,16,78,26.485
389,35,78,26.506
390,34,78,26.526
391,20,78,26.509
392,42,78,26.548
393,22,78,26.537
394,23,78,26.528
395,27,78,26.529
396,41,78,26.566
397,6,78,26.514
398,45,78,26.560
399,23,78,26.551
400,25,78,26.547
401,26,78,26.546
402,16,78,26.520
403,14,78,26.489
404,25,78,26.485
405,24,78,26.479
406,12,78,26.443
407,21,78,26.430
408,26,78,26.429
409,34,78,26.447
410,28,78,26.451
411,34,78,26.470
412,40,78,26.502
413,18,78,26.482
414,75,78,26.599
415,16,78,26.573
416,22,78,26.562
417,22,78,26.552
418,19,78,26.533
419,8,78,26.489
420,21,78,26.476
421,32,78,26.489
422,35,78,26.509
423,24,78,26.504
424,22,78,26.493
425,17,78,26.471
426,35,78,26.491
427,11,78,26.454
428,23,78,26.446
429,41,78,26.480
430,25,78,26.477
431,29,78,26.483
432,39,78,26.512
433,42,78,26.547
434,11,78,26.512
435,39,78,26.540
436,42,78,26.576
437,15,78,26.549
438,58,78,26.621
439,44,78,26.661
440,24,78,26.655
441,23,78,26.646
442,38,78,26.672
443,23,78,26.664
444,22,78,26.653
445,44,78,26.692
446,17,78,26.670
447,37,78,26.694
448,68,78,26.786
449,32,78,26.797
450,27,78,26.798
451,47,78,26.843
452,28,78,26.845
453,28,78,26.848
454,20,78,26.833
455,24,78,26.826
456,58,78,26.895
457,27,78,26.895
458,20,78,26.880
459,25,78,26.876
460,34,78,26.891
461,22,78,26.881
462,17,78,26.859
463,7,78,26.816
464,33,78,26.830
465,8,78,26.789
466,54,78,26.848
467,20,78,26.833
468,26,78,26.831
469,23,78,26.823
470,23,78,26.815
471,18,78,26.796
472,35,78,26.814
473,28,78,26.816
474,20,78,26.802
475,53,78,26.857
476,18,78,26.838
477,33,78,26.851
478,30,78,26.858
479,32,78,26.868
480,35,78,26.885
481,50,78,26.933
482,22,78,26.923
483,16,78,26.901
484,24,78,26.895
485,25,78,26.891
486,29,78,26.895
487,11,78,26.862
488,42,78,26.893
489,43,78,26.926
490,27,78,26.927
491,35,78,26.943
492,17,78,26.923
493,48,78,26.966
494,33,78,26.978
495,35,78,26.994
496,37,78,27.014
497,35,78,27.030
498,33,78,27.042
499,47,78,27.082
500,33,78,27.094
501,23,78,27.086
502,39,78,27.110
503,28,78,27.111
504,22,78,27.101
505,23,78,27.093
506,42,78,27.123
507,32,78,27.132
508,25,78,27.128
509,21,78,27.116
510,35,78,27.131
511,11,78,27.100
512,22,78,27.090
513,11,78,27.058
514,48,78,27.099
515,29,78,27.103
516,45,78,27.138
517,32,78,27.147
518,12,78,27.118
519,12,78,27.089
520,29,78,27.092
521,21,78,27.081
522,56,78,27.136
523,33,78,27.147
524,29,78,27.151
525,34,78,27.164
526,34,78,27.177
527,0,78,27.125
528,42,78,27.153
529,25,78,27.149
530,31,78,27.157
531,28,78,27.158
532,23,78,27.150
533,30,78,27.156
534,37,78,27.174
535,30,78,27.179
536,26,78,27.177
537,47,78,27.214
538,28,78,27.216
539,53,78,27.263
540,45,78,27.296
541,18,78,27.279
542,17,78,27.260
543,31,78,27.267
544,68,78,27.342
545,21,78,27.330
546,15,78,27.308
547,35,78,27.322
548,32,78,27.330
549,22,78,27.321
550,17,78,27.302
551,34,78,27.314
552,39,78,27.335
553,46,78,27.369
554,36,78,27.384
555,40,78,27.407
556,29,78,27.410
557,45,78,27.442
558,24,78,27.435
559,39,78,27.456
560,22,78,27.446
561,29,78,27.449
562,14,78,27.425
563,50,78,27.465
564,25,78,27.461
565,33,78,27.471
566,34,78,27.482
567,48,78,27.519
568,29,78,27.521
569,29,78,27.524
570,35,78,27.537
571,43,78,27.564
572,19,78,27.549
573,28,78,27.550
574,18,78,27.533
575,35,78,27.546
